iter	Logloss
0	0.6849251223
1	0.6780970309
2	0.6698097474
3	0.6615045494
4	0.654108505
5	0.6462920728
6	0.6396185158
7	0.631499548
8	0.6249680378
9	0.6181802666
10	0.61182217
11	0.605426141
12	0.599561185
13	0.592759737
14	0.585509072
15	0.578827162
16	0.5724485707
17	0.5641646038
18	0.5580918356
19	0.5525450877
20	0.546351811
21	0.539123224
22	0.5323227001
23	0.5267123003
24	0.5204212363
25	0.5146145021
26	0.5090165151
27	0.5039306088
28	0.4981625748
29	0.4915515029
30	0.4864008901
31	0.4806820536
32	0.4754611643
33	0.4705208769
34	0.4651784085
35	0.4604206278
36	0.4560318436
37	0.4501867863
38	0.4453937627
39	0.4401748687
40	0.4352333968
41	0.4301573066
42	0.4261286396
43	0.4213337711
44	0.4166121773
45	0.4118431437
46	0.4062792953
47	0.4015690613
48	0.3970622983
49	0.3926244339
50	0.3882925057
51	0.3844942553
52	0.38053532
53	0.3750269655
54	0.3706749739
55	0.3670529721
56	0.3635347197
57	0.3590562294
58	0.3551257463
59	0.3516573484
60	0.3477590494
61	0.3447046501
62	0.3415911316
63	0.3375740361
64	0.3335777238
65	0.3305475536
66	0.3272657565
67	0.3242304402
68	0.3204770341
69	0.3175436495
70	0.3134303403
71	0.310187153
72	0.3073476426
73	0.3043824028
74	0.3018593432
75	0.2987051561
76	0.2959671447
77	0.2926463874
78	0.2894122019
79	0.2867356856
80	0.2837334078
81	0.2805361029
82	0.2776343344
83	0.2743998327
84	0.2717075161
85	0.2690174854
86	0.2655399132
87	0.2630596495
88	0.2606322164
89	0.2579327126
90	0.2552297492
91	0.2526305941
92	0.2502097166
93	0.2479963724
94	0.245565592
95	0.2430491111
96	0.2408303277
97	0.2383819916
98	0.2359357172
99	0.2335783345
100	0.2311852455
101	0.2287795057
102	0.2260450205
103	0.2233067776
104	0.2209794369
105	0.2185920312
106	0.2161993412
107	0.2139350046
108	0.2118539671
109	0.2102365112
110	0.2086098486
111	0.2064798482
112	0.2045371575
113	0.2027450044
114	0.200780969
115	0.198644772
116	0.1967060972
117	0.1952908211
118	0.193413728
119	0.1916758121
120	0.1900229561
121	0.1887645083
122	0.1868296792
123	0.1851810242
124	0.1836858838
125	0.1820210665
126	0.1805344453
127	0.1786455385
128	0.1771849421
129	0.175335494
130	0.1734806459
131	0.1718403582
132	0.1698314096
133	0.168170191
134	0.1666161378
135	0.1652333143
136	0.1638647562
137	0.1624554892
138	0.1607782245
139	0.1593128343
140	0.1579278872
141	0.1565951725
142	0.1549088925
143	0.153644572
144	0.1525887732
145	0.1512540681
146	0.1499320017
147	0.1485496675
148	0.1469996676
149	0.1453022249
150	0.1438284187
151	0.1422800918
152	0.1408787282
153	0.1393178726
154	0.1382549642
155	0.1371858078
156	0.1360218236
157	0.1348324563
158	0.1339008943
159	0.1328537586
160	0.1315529808
161	0.1301032375
162	0.1288985687
163	0.1277894672
164	0.1265070403
165	0.1251855769
166	0.1242737895
167	0.123106114
168	0.1219606674
169	0.1210313158
170	0.1199919527
171	0.1190531039
172	0.1179486638
173	0.1170446875
174	0.1162017786
175	0.1150259288
176	0.1139320893
177	0.1131116516
178	0.1122552017
179	0.1112187098
180	0.1103467797
