iter	Passed	Remaining
430	1547	5632
431	1555	5646
432	1560	5647
433	1563	5642
434	1567	5639
435	1571	5635
436	1574	5631
437	1577	5627
438	1581	5623
439	1584	5617
440	1587	5611
441	1590	5607
442	1594	5602
443	1597	5600
444	1601	5596
445	1604	5591
446	1607	5586
447	1611	5582
448	1615	5580
449	1618	5575
450	1621	5570
451	1624	5565
452	1628	5561
453	1632	5557
454	1635	5553
455	1638	5548
456	1642	5546
457	1646	5543
458	1649	5537
459	1652	5532
460	1655	5526
461	1658	5520
462	1661	5515
463	1664	5509
464	1667	5505
465	1670	5500
466	1674	5496
467	1677	5492
468	1681	5487
469	1684	5482
470	1687	5477
471	1690	5473
472	1694	5469
473	1697	5464
474	1701	5461
475	1704	5457
476	1708	5454
477	1711	5450
478	1715	5446
479	1719	5444
480	1723	5441
481	1726	5438
482	1730	5435
483	1734	5432
484	1738	5430
485	1742	5427
486	1745	5423
487	1749	5421
488	1753	5417
489	1756	5413
490	1759	5408
491	1763	5404
492	1766	5400
493	1769	5395
494	1772	5390
495	1776	5385
496	1779	5381
497	1783	5378
498	1786	5375
499	1790	5370
500	1793	5365
501	1796	5361
502	1800	5359
503	1804	5354
504	1806	5349
505	1810	5344
506	1813	5339
507	1816	5334
508	1819	5329
509	1822	5324
510	1825	5320
511	1828	5315
512	1831	5310
513	1834	5305
514	1838	5300
515	1841	5296
516	1844	5291
517	1847	5286
518	1851	5282
519	1854	5277
520	1857	5273
521	1860	5269
522	1864	5264
523	1867	5260
524	1870	5255
525	1874	5253
526	1877	5249
527	1881	5244
528	1884	5240
529	1888	5237
530	1891	5232
531	1895	5230
532	1900	5229
533	1904	5229
534	1908	5226
535	1912	5223
536	1916	5221
537	1920	5218
538	1923	5213
539	1926	5208
540	1929	5203
541	1932	5199
542	1936	5196
543	1940	5192
544	1943	5188
545	1946	5183
546	1949	5179
547	1953	5175
548	1956	5171
549	1960	5168
550	1964	5165
551	1967	5160
552	1970	5156
553	1973	5151
554	1976	5146
555	1979	5140
556	1982	5136
557	1986	5133
558	1989	5128
559	1992	5124
560	1996	5121
561	1999	5116
562	2003	5113
563	2006	5109
564	2010	5105
565	2013	5100
566	2016	5096
567	2019	5091
568	2022	5086
569	2026	5083
570	2030	5080
571	2033	5076
572	2036	5071
573	2039	5067
574	2042	5062
575	2046	5059
576	2049	5055
577	2052	5050
578	2056	5046
